index,sequence
1,When the bartender who served the annoying customer walked away the doors opened
2,When the limp drunkard who paid the bartender laughed the stool fell over
3,The rector who punished the tough teenager was very unreasonable
4,The burglar who begged the injured pastor was desperate
5,Last week the assistant who treated the brown teeth got the rash
6,Last Monday the doctor treating the small pox was given the small pox himself
7,The dreaded psychiatrist who treated the addict recently received his resignation
8,The offender who fled the cop has entered a winding path
9,The owners of the estate who show hundreds of visitors are proud
10,Yesterday the broad bodyguard who protected the film star had a day off
11,Tomorrow the waiter who insulted the famous president will get his resignation
12,The doctor who changed the dirty bandage first put on plastic gloves
13,The sports doctor who advises the hockey player with the torn tendons knows a lot about it
14,The grandmother with the broken pelvis that the nurse consulted had to cry
15,The alcoholic who treated the well-known psychologist has a relapse again
16,On Monday the pupil who harasses the master has put pins back on the chair
17,Jochem who always jumps too high during basketball has injured his ankle
18,The policeman arresting the aggressive squatter is cracking down
19,The striker who pelts the fearful ladies goes too far
20,The journalist interviewing the famous national coach wants to know a lot
21,The sister who washes the elderly person suffering from tuberculosis is caring
22,The magician who instructs the volunteer from the enthusiastic audience is unclear
23,The patient pastor who baptizes the baby begins to speak
24,The pastor who baptizes the cuddly little one is holding her tightly
25,That girl who wants the peanut butter sandwich is spoiled
26,Robert who swallowed Jan's beautiful daughter in marriage
27,The detective who traces criminals receives a fat reward from the state
28,The tracking dog that detects illegal drugs is given a cookie
29,The prisoner who shakes off the slow guard gets help from his henchman
30,Today the last candidate to convince the examiner is very impressive
31,The striker who drafted the trainer had missed a crucial training
32,Nobody knew that a dangerous tornado was created that would demand many victims
33,The employee who describes the escaped thieves is very accurate
34,The cruel president who orders the subject is angry
35,The third number that the attentive listener signals is six
36,My girlfriend Mona loves boys who buy mixed drinks for her
37,Yesterday the contractor who tempered the elderly resident was in a good mood
38,The female that takes care of abandoned cats has a quarrel with the neighbors
39,Recently the young man who hired the popular porter gave a big party
40,The fairy who enchanted the strong bears was very friendly
41,The painter who draws the handsome princess is covered in paint
42,The cook who cooks porridge for homeless citizens no longer feels like it
43,Nora who weaves warm blankets for poor people is happy
44,The violent shooter who killed your director has been convicted before
45,The rider who stroked his beloved horses had become the winner
46,The counselor who assisted the cruel delinquent was on the radio
47,The detained toddlers who alert the parents are in a panic
48,The parents who liberate the frightened daughters went home relieved
49,Joost grabs the tough kidnapper who slips away from the frightened director in his collar
50,His boss who is afraid of the rigid diplomat runs out the door
51,The foreman who exploits the sober forester is an unkind man
52,The employee who obeys the strict director is afraid of losing his job
53,The fans who encourage the tense bowlers want their sports heroes to win
54,I spoke yesterday with Hans who designed the crooked towers
55,When the wanderer who helped the rescuer saw the mounted police he ran away
56,When the salvation soldier who housed the sick homeless person entered the room he was startled
57,The grandfather who didn't see through the devious virtue felt cheated
58,I was shocked when the cheap bastard who repaired the rear landing laughed
59,The judoka who floored the foolish attacker could not be kept
60,The cheater who misled the simple appraiser felt guilty
61,My aunt Agaat who won the competition had used smooth piers
62,The nude runners who entertain the people in the brothel in The Hague are cold
63,The designer who sells queen's clothing is very creative
64,The window man took the plastic mannequin that stood in the hallway
65,My sister Fransien who chooses the most expensive trumpet has enough money
66,The hairdresser who cuts the busy team leader has a lot of experience
67,Joke who plays the Spanish tambourine prefers to be at the front
68,The helpful waitress who helped the simple farmer's wife neatly kept the door open
69,Hip glasses were sold in the store that I saw
70,The rather stiff diaphragm that separates abdominal cavity and chest cavity is very important
71,I don't take the farmer who feeds the little pig seriously
72,The teenager who hated the evil boss was desperate
73,Richard who took care of the older animals started collecting money for them
74,Last week the pathetic frightened man who called in the dentist suffered severe pain
75,Last month the wounded who called in a famous psychic got many complications
76,My sister's neighbor who had a severe psychosis is better
77,I looked at my brother who used the big branches for the fire
78,The experienced agent who ran there saved the frightened tourist
79,The experienced brokers who show the new buyers around are shark-headed
80,I had a nice beer made from barley
81,The older brother of the owner who received the first visitors winked
82,My aunt who makes delicious jam from fresh blackberries is moving
83,The young thief who fled had stolen her new passport
84,The salesman who praised the modern telephone earned a lot of money
85,The orthopedist who treats the injury has little sense of it
86,The secretary gives a letter to the lawyer who advises the male staff member
87,The wise old man who explains everyone's dreams comes tomorrow
88,Monday the nice teacher who teaches the student has a day off
89,You can borrow my green silk pajamas in the closet
90,My little niece who is jealous also wants this beautiful pencil
91,Only people who know about wild dogs are allowed to keep pitbulls
92,Only a real tough one that goes through gets a place in the front row
93,The young dog of my neighbor who is chasing the fat pigeons is wild
94,Due to very sharp turns that occur in Greece many accidents happen
95,The woman who makes beautiful drawings can go to the art academy from Tuesday
96,Sonja looked surprised at Mother who threw the other biscuits into the trash
97,The police officer arresting the aggressive godfather is cracking down
98,The officer who was the fastest had arrested the naked squatter
99,The reporter interviewing the tired ballerina wants to know a lot
100,The mother who asks for extra blankets for her daughter has no chance
101,The celebrity who sends the reporter away does not want to talk to the waiting police
102,The clown sitting on the sunny terrace is out for revenge
103,My mother sells her old car that does not have a suitable towbar
104,The new propeller ordered by the mechanic was red
105,The nurse takes care of the sick person who suffers from inflamed pimples
106,The teacher reprimanded the boy who pressed the rickety button
108,The robber stole all the valuables that the astonished neighbor had in his house
109,The invested brown ball on the counter is fresh
110,Margriet who was more than fed up with the busy period went on vacation
111,She was startled by the scream that the savage barbarized
112,My nice colleague who was assigned to early service left
113,Without great protest the girl who had to cry took a bite of vegetables
114,The rare plant that stood in the window needed water
115,There was a tower in the luxurious banquet that had just been brought
116,My handsome uncle Henk who invited the insecure blonde had to laugh
117,The old cop who received the suspicious package didn't open it
118,Despite heavy setbacks that everyone experiences most people just keep going
119,Generally speaking there is little to be done about impetuous teenagers going their way
120,men with a tight bandana around their heads are tough
121,Today the witty brunette who judges the singer is very partial
122,Nevertheless the florist who invites the suitable applicant is very friendly
123,The tame cougar walking in the Veluwe is not dangerous
124,Vera who wanted to pet the dog frightened the young puppy
125,On the previous page there was a wrong sentence about duck hunting
126,The blind typist who worked despite her disability knew the answer
127,The results that did not show any signs of a strong trend
128,Mother looked angry at the toddler who pulled a big pout
129,The new target that the tiger had chosen entered the forest
130,When the choreographer calling the slow dancer heard the reason he was startled
131,The man who arrested the police was taken away under immense protest
132,The substantial bonus that was distributed to the board was noted
133,The student who was questioned had killed the missing dean
134,The woman who was pregnant was admitted to the hospital in a critical condition
135,The forgotten poet who fears the cruel reader is desperate
136,The patron of Delhi who built the holy temple died
137,The wooden desk that was clumsily put together fell together
138,The skinny drunk who escapes the bouncer has something to hide
139,I rarely see a written letter that falls in the letterbox
140,The star who considers sufficient privacy important is often called
141,The bystanders who are very critical make fun of the famous technologist
142,The smooth chat he can have during job applications does help
143,Unfortunately Vincent who painted famous portraits could not earn anything from it
144,The artists who have no work have to entertain the crying babies
145,The route that ran along the Utrecht ponds was longer than expected
146,The witch who predicted an uncertain future for her laughed hard
147,Yesterday the driver who had discovered the hidden gunpowder received a reward
148,The inexperienced musician who tuned the expensive black piano was nervous
149,My aunt who loved to visit cozy villages was enthusiastic
150,We did not get far on the rickety tandem that was not insured
151,The Swiss man likes to visit the Dutch forests that are beautiful
152,Yesterday grandma who had eaten a sweet pancake had a severe stomachache
153,Fashionable Sarah who brought wool bags to market was successful
154,The ideal crowbar that is indispensable for many men is in stores
155,You get little for twenty dollars that are worth less than before
